YEAR,CYPRUS,IRAN,IRAQ,JORDAN,LEBANON,OMAN,QATAR,SYRIA,TURKEY,YEMEN
2001,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,84,0
2004,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0
2006,0,0,95,0,0,0,0,96,0,22
2007,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,94,0
2009,0,0,0,0,100,0,0,0,0,0
2010,100,99,0,0,0,0,0,0,0,0
2011,0,0,99,0,0,0,0,0,0,0
2012,0,0,0,99,0,0,0,0,0,17
2013,0,0,0,0,0,0,0,0,99,31
2014,100,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,100,0,0,0
2016,0,0,0,0,0,0,0,0,0,0
2017,100,0,0,0,0,0,100,0,0,0
2018,0,99,0,98,0,100,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0
